open goals;0
Nodes;220
Branches;2
Interactive steps;0
Symbolic execution steps;52
Automode time;686ms
Avg. time per step;3.132ms
Rule applications
Quantifier instantiations;0
One-step Simplifier apps;72
SMT solver apps;0
Dependency Contract apps;0
Operation Contract apps;0
Block/Loop Contract apps;0
Loop invariant apps;0
Merge Rule apps;0
Total rule apps;627
