open goals;0
Nodes;732
Branches;4
Interactive steps;0
Symbolic execution steps;21
Automode time;972ms
Avg. time per step;1.329ms
Rule applications
Quantifier instantiations;0
One-step Simplifier apps;77
SMT solver apps;0
Dependency Contract apps;0
Operation Contract apps;0
Block/Loop Contract apps;0
Loop invariant apps;0
Merge Rule apps;0
Total rule apps;1,011
